Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
14:01:36,25.400000,26.600000,72.400002,68.900002,21.375000,39.375000
14:01:40,25.400000,26.600000,72.500000,68.900002,21.312500,39.312500
14:01:44,25.400000,26.600000,72.500000,68.900002,20.750000,39.312500
14:01:47,25.299999,26.600000,72.500000,68.900002,21.375000,39.312500
14:01:51,25.400000,26.600000,72.599998,69.000000,21.375000,39.312500
14:01:55,25.400000,26.600000,72.599998,69.000000,20.625000,39.312500
14:01:59,25.400000,26.600000,72.599998,69.099998,21.312500,39.312500
14:02:02,25.299999,26.600000,72.599998,69.099998,21.250000,39.312500
14:02:06,25.299999,26.600000,72.599998,69.099998,21.250000,39.375000
14:02:10,25.299999,26.600000,72.599998,69.099998,21.250000,39.375000
14:02:13,25.299999,26.600000,72.599998,69.099998,21.375000,39.375000
14:02:17,25.299999,26.600000,72.699997,69.099998,20.687500,39.375000
14:02:21,25.299999,26.600000,72.699997,69.199997,21.312500,39.375000
14:02:25,25.299999,26.600000,72.699997,69.199997,21.375000,39.375000
14:02:28,25.299999,26.500000,72.699997,69.099998,21.375000,39.375000
14:02:32,25.299999,26.600000,72.800003,69.199997,20.687500,39.375000
14:02:36,25.299999,26.500000,72.800003,69.199997,21.250000,39.375000
14:02:40,25.299999,26.600000,72.800003,69.300003,21.250000,39.375000
14:02:43,25.299999,26.500000,72.800003,69.199997,21.250000,39.375000
14:02:47,25.299999,26.500000,72.900002,69.199997,21.250000,39.375000
14:02:51,25.299999,26.500000,72.900002,69.300003,20.687500,39.375000
14:02:55,25.299999,26.500000,72.900002,69.300003,21.312500,39.375000
14:02:58,25.299999,26.500000,73.000000,69.300003,21.250000,39.375000
14:03:02,25.299999,26.500000,73.000000,69.300003,21.312500,39.375000
14:03:06,25.200001,26.500000,73.000000,69.400002,21.250000,39.375000
14:03:09,25.299999,26.500000,73.099998,69.400002,21.250000,39.375000
14:03:13,25.200001,26.500000,73.000000,69.500000,20.750000,39.375000
14:03:17,25.299999,26.500000,73.099998,69.500000,21.312500,39.375000
14:03:21,25.299999,26.500000,73.199997,69.500000,21.250000,39.375000
14:03:24,25.200001,26.500000,73.099998,69.500000,21.187500,39.375000
14:03:28,25.200001,26.500000,73.099998,69.500000,21.312500,39.375000
14:03:32,25.200001,26.500000,73.099998,69.500000,21.250000,39.375000
14:03:36,25.200001,26.500000,73.199997,69.599998,20.625000,39.375000
14:03:39,25.200001,26.500000,73.199997,69.599998,20.687500,39.437500
14:03:43,25.200001,26.500000,73.400002,69.800003,21.250000,39.437500
14:03:47,25.200001,26.500000,73.699997,70.000000,21.250000,39.437500
14:03:51,25.200001,26.400000,73.900002,70.199997,21.187500,39.437500
14:03:54,25.200001,26.400000,74.099998,70.300003,21.312500,39.437500
14:03:58,25.200001,26.400000,74.300003,70.500000,20.562500,39.437500
14:04:02,25.200001,26.400000,74.300003,70.599998,21.187500,39.437500
14:04:05,25.200001,26.400000,74.400002,70.599998,20.625000,39.437500
14:04:09,25.200001,26.400000,74.400002,70.699997,21.250000,39.437500
14:04:13,25.100000,26.400000,74.500000,70.699997,21.125000,39.500000
14:04:17,25.200001,26.400000,74.599998,70.800003,21.187500,39.437500
14:04:20,25.100000,26.400000,74.599998,70.800003,21.250000,39.437500
14:04:24,25.100000,26.400000,74.599998,70.800003,21.187500,39.437500
14:04:28,25.100000,26.400000,74.599998,70.800003,21.250000,39.437500
14:04:32,25.100000,26.400000,74.599998,70.800003,21.187500,39.437500
14:04:35,25.100000,26.400000,74.599998,70.900002,21.187500,39.437500
14:04:39,25.100000,26.400000,74.599998,70.800003,21.125000,39.437500
14:04:43,25.200001,26.400000,74.599998,70.800003,21.125000,39.437500
14:04:47,25.100000,26.400000,74.500000,70.800003,21.187500,39.437500
